date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:25	19562/19562	---MCZ	200	added ('OK')	text/html	etag:W/%22da9dd33ae4f482bd18a8964765492052%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html	(from )
16:28:26	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Aug%202025%2019:28:26%20GMT	https://amazoncombr.vercel.app/robots.txt		(from )
16:28:26	14028/14028	---MCZ	200	added ('OK')	text/javascript	etag:W/%223597da8fec71b3250f509ca225474aaa%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/offer-amazon/cdn.utmify.com.br/scripts/utms/latest.js	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:26	36756/36756	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbf4a5692b4833e577ccd806f8c9ad6%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Meus%20Sites/offer-amazon/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:27	24007/24007	---M--	200	added ('OK')	image/png	etag:%2274da1a082d71dc5e46380655cf5734a8%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/logoamazon1.png	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/logoamazon1.png	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:27	52148/52148	---M--	200	added ('OK')	image/png	etag:%2266d84f9d93129408b7f65bc7e346143e%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/user.png	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/user.png	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:27	47301/47301	---M--	200	added ('OK')	image/png	etag:%226ab3498ee03a92c090ec01ebd787dbde%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/cart2.png	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/cart2.png	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:28	325/325	---M--	200	added ('OK')	image/png	etag:%2220784779030849e900201c402a1625f6%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/img.icons8.com/material-rounded/24/search.png	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/img.icons8.com/material-rounded/24/search.png	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:28	64935/64935	---M--	200	added ('OK')	image/png	etag:%22d8a9c459781d62b0520c831454b7e073%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/local.png	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/local.png	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:29	626370/626370	---M--	200	added ('OK')	image/webp	etag:%225f6c5582209c8024cf45c9044f349f6c%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/bannefhkl.webp	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/images/bannefhkl.webp	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:29	38758/38758	---MCZ	200	added ('OK')	text/html	etag:W/%221fe8bbe88a165af0a8f6025545228062%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/7.html	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/7.html	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:29	29558/29558	---M--	200	added ('OK')	image/jpeg	etag:%22ba7374c42b2eb6ec1feb72885288d36e%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/a-static.mlcdn.com.br/800x560/livro-de-colorir-bobbie-goods-80-canetinhas-pon/mbcomericoatacado/kitcnt80rosa/810051702e6ea56ba5fc83fe01a3d844.jpg	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/a-static.mlcdn.com.br/800x560/livro-de-colorir-bobbie-goods-80-canetinhas-pon/mbcomericoatacado/kitcnt80rosa/810051702e6ea56ba5fc83fe01a3d844.jpg	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:30	40710/40710	---MCZ	200	added ('OK')	text/html	etag:W/%22704a6a174eda53a7084328b66c000782%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/1.html	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/1.html	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:31	39873/39873	---MCZ	200	added ('OK')	text/html	etag:W/%222b49a7de9f55781aa34b3f69b2598407%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/2.html	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/2.html	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:31	39859/39859	---MCZ	200	added ('OK')	text/html	etag:W/%22d130a25ca1f5cbb24a36369406559b9e%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/3.html	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/3.html	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
16:28:31	39884/39884	---MCZ	200	added ('OK')	text/html	etag:W/%22a66e27737df4ca7fc4d3c78389572469%22	https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/4.html	C:/Meus%20Sites/offer-amazon/amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/4.html	(from https://amazoncombr.vercel.app/canetinhatouch.vercel.app/livro-bob.vercel.app/index.html)
